SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Whakarara,Puketona-Waitangi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Whakarara,-35.0629133,173.84991312,Puketona-Waitangi,-35.27991822,174.00095246,27.76191431130277,Far North,Far North,Northland,Northland,WORK
Ngapuhi,Puketona-Waitangi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ngapuhi,-35.4228326,173.76534835,Puketona-Waitangi,-35.27991822,174.00095246,26.62907375848425,Far North,Far North,Northland,Northland,WORK
Kaeo,Ngapuhi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaeo,-35.15410315,173.74331968,Ngapuhi,-35.4228326,173.76534835,29.94816733243141,Far North,Far North,Northland,Northland,WORK
Hokianga South,Ngapuhi,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Hokianga South,-35.46801387,173.48438703,Ngapuhi,-35.4228326,173.76534835,25.942532997822298,Far North,Far North,Northland,Northland,WORK
Lake Manuwai-Kapiro,Ngapuhi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Lake Manuwai-Kapiro,-35.18267324,173.86535013,Ngapuhi,-35.4228326,173.76534835,28.2043214076138,Far North,Far North,Northland,Northland,WORK
Kerikeri South,Ngapuhi,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kerikeri South,-35.24639884,173.9577874,Ngapuhi,-35.4228326,173.76534835,26.260495900569982,Far North,Far North,Northland,Northland,WORK
Haruru,Ngapuhi,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Haruru,-35.27932636,174.05921268,Ngapuhi,-35.4228326,173.76534835,31.063313465498023,Far North,Far North,Northland,Northland,WORK
Paihia,Ngapuhi,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Paihia,-35.28609895,174.09311792,Ngapuhi,-35.4228326,173.76534835,33.38784671623905,Far North,Far North,Northland,Northland,WORK
Opua (Far North District),Ngapuhi,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Opua (Far North District),-35.32270229,174.10002605,Ngapuhi,-35.4228326,173.76534835,32.322903742608105,Far North,Far North,Northland,Northland,WORK
Kawakawa,Ngapuhi,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Kawakawa,-35.37897674,174.07575504,Ngapuhi,-35.4228326,173.76534835,28.553836771251653,Far North,Far North,Northland,Northland,WORK
Okaihau,Paihia,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Okaihau,-35.28661159,173.79081555,Paihia,-35.28609895,174.09311792,27.438722385846496,Far North,Far North,Northland,Northland,WORK
