SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Kopuaranga,Whareama,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Kopuaranga,-40.79823344,175.63791121,Whareama,-40.91901694,175.98994746,32.509975768332694,Masterton,Masterton,EDUCATION
Glendowie North,Campus South,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Glendowie North,-36.85540475,174.87371093,Campus South,-45.86793792,170.51211679,1065.7696583901904,Waitakere,Dunedin,EDUCATION
Stratford South,Welbourn,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Stratford South,-39.34903873,174.28515816,Welbourn,-39.08571024,174.09311599999995,33.63142060775485,Stratford,New Plymouth,EDUCATION
Aorere South,Albany Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Aorere South,-36.98140868,174.83755849,Albany Central,-36.72820186,174.70483518,30.531462688285533,Manukau,Waitakere,EDUCATION
Maungati,Waimate West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Maungati,-44.49962787,170.93976175,Waimate West,-44.73240496,171.03832528,27.03377941866543,Waimate,Waimate,EDUCATION
Toko,New Plymouth Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Toko,-39.31711879,174.34830199,New Plymouth Central,-39.05700192,174.07537454,37.28112071461965,Stratford,New Plymouth,EDUCATION
Papakura Massey Park,Auckland-University,-999,9,-999,15,-999,-999,-999,-999,-999,-999,24,Papakura Massey Park,-37.0662997,174.95483864,Auckland-University,-36.85143057,174.76906469,29.039732292776808,Franklin,Waitakere,EDUCATION
Mataura,Newfield,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Mataura,-46.18742074,168.87330231,Newfield,-46.41755347,168.38907267,45.14990075323003,Gore,Invercargill,EDUCATION
Waingarara-Waimana,Wainui ,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,21,Waingarara-Waimana,-38.28225314,177.02173872,Wainui,-38.01390602,177.03388212,29.857727137279,Whakatane,Whakatane,EDUCATION
Pyes Pa North,Hillcrest West (Hamilton City),-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Pyes Pa North,-37.74119093,176.12802796,Hillcrest West (Hamilton City),-37.79546663,175.31326581,71.87029792148483,Western Bay of Plenty,Hamilton,EDUCATION
Tauherenikau,Kahutara,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,12,Tauherenikau,-41.06390044,175.36907465,Kahutara,-41.33273164,175.08046255,38.42730975305508,South Wairarapa,South Wairarapa,EDUCATION
Upper Whanganui,Mowhanau,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Upper Whanganui,-39.70091534,175.16952733,Mowhanau,-39.84344675,174.90288293,27.757795272505692,Wanganui,Wanganui,EDUCATION
Upper Wairau ,Whitney East,-999,-999,-999,-999,-999,-999,27,-999,-999,-999,39,Upper Wairau,-41.71793751,173.30406264,Whitney East,-41.52059859,173.95891011,58.69127006639549,Marlborough,Marlborough,EDUCATION
Manutahi-Waitotora,Hawera Central,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,9,Manutahi-Waitotora,-39.78384701,174.57529167,Hawera Central,-39.59042249,174.28314512,32.97760728550805,South Taranaki,South Taranaki,EDUCATION
Maraekakaho,Bluff Hill,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,12,Maraekakaho,-39.62634976,176.29699518,Bluff Hill,-39.48081517,176.91538913,55.43233881782803,Hastings,Napier,EDUCATION
Hedgehope,Invercargill Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Hedgehope,-46.12903119,168.56584014,Invercargill Central,-46.41489239,168.32850731,36.6487684932082,Southland,Invercargill,EDUCATION
Waikanae East,Porirua Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Waikanae East,-40.86699218,175.07883134,Porirua Central,-41.14584359,174.82583047,37.57823690769003,Kapiti Coast,Porirua,EDUCATION
Hatfields Beach,Auckland-University,-999,-999,-999,-999,-999,-999,-999,15,-999,-999,18,Hatfields Beach,-36.57001949,174.68935557,Auckland-University,-36.85143057,174.76906469,32.08804552989102,Rodney,Waitakere,EDUCATION
