SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Halkett,Christchurch Central-South,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Halkett,-43.49237114,172.35028822,Christchurch Central-South,-43.53815861,172.64240289,24.09934591495321,Selwyn,Christchurch,WORK
Rolleston South East,Paparua,-999,15,6,-999,-999,-999,-999,-999,-999,-999,24,Rolleston South East,-43.61058176,172.40183653,Paparua,-43.52734771,172.46226351,10.457512875318665,Selwyn,Christchurch,WORK
Alfriston,Shortland Street,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Alfriston,-37.01247699,174.92080195,Shortland Street,-36.84736853,174.76823915,22.824398879808896,Franklin,Waitakere,WORK
Papatoetoe Central,Hillsborough North (Auckland),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papatoetoe Central,-36.97461746,174.85800659,Hillsborough North (Auckland),-36.91359172,174.75815493,11.170948039663232,Manukau,Waitakere,WORK
Marlborough Sounds West,Whitney East,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Marlborough Sounds West,-41.25619764,173.62635385,Whitney East,-41.52059859,173.95891011,40.42314104635693,Marlborough,Marlborough,WORK
Lake Cameron,Te Rapa North,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Lake Cameron,-37.85237531,175.29365388,Te Rapa North,-37.73226423,175.22072362,14.813626105407991,Waipa,Hamilton,WORK
Putararu,Rotorua Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Putararu,-38.05293796,175.78466514,Rotorua Central,-38.13568521,176.25424012,42.109965270909456,South Waikato,Rotorua,WORK
Epsom North,Middlemore,-999,15,-999,-999,-999,6,-999,-999,-999,-999,24,Epsom North,-36.87695838,174.77070996,Middlemore,-36.96044494,174.84306701,11.294070942851373,Waitakere,Manukau,WORK
Stratford North,Inglewood,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Stratford North,-39.32802895,174.28261319,Inglewood,-39.15653753,174.20152057,20.307522932017942,Stratford,New Plymouth,WORK
Park West,Feilding Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Park West,-40.36636017,175.57679046,Feilding Central,-40.23865803,175.58114321,14.204626866340888,Palmerston North,Manawatu,WORK
Prebbleton,Travis Wetlands,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Prebbleton,-43.57865333,172.50783629,Travis Wetlands,-43.48560388,172.68870014,17.87844538453784,Selwyn,Christchurch,WORK
Taradale Central,Bridge Pa,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,18,Taradale Central,-39.5289489,176.84963144,Bridge Pa,-39.63313082,176.76284806,13.766457985971554,Hastings,Hastings city,WORK
East Tamaki Heights,Hobson Ridge South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,East Tamaki Heights,-36.9417869,174.92247188,Hobson Ridge South,-36.85434043,174.75814216,17.552199436044315,Manukau,Waitakere,WORK
Schnapper Rock,Henderson Lincoln East,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Schnapper Rock,-36.75623258,174.68691977,Henderson Lincoln East,-36.85590078,174.63407425,12.039915313731505,Waitakere,Waitakere,WORK
