SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Karori North,Johnsonville South,SCHOOL_BUS,6,EDUCATION,Karori North,-41.27758715,174.74437222,Johnsonville South,-41.23102176,174.80210834,7.078470697032237,Wellington,Wellington
Tamaki,Remuera North,SCHOOL_BUS,9,EDUCATION,Tamaki,-36.89521581,174.86187464,Remuera North,-36.86848079999999,174.8040065,5.943753014570046,Waitakere,Waitakere
Rotongata,Goodfellow Park,SCHOOL_BUS,24,EDUCATION,Rotongata,-38.09897589,175.54852216,Goodfellow Park,-38.00680748,175.31677998,22.732557133896588,Waipa,Waipa
Maunu-Horahora,Whangarei Central,SCHOOL_BUS,57,EDUCATION,Maunu-Horahora,-35.73757136,174.29037127,Whangarei Central,-35.72846995,174.32430322,3.2256429060483325,Whangarei,Whangarei
Waimumu-Kaiwera,Gore West,SCHOOL_BUS,66,EDUCATION,Waimumu-Kaiwera,-46.20791261,169.07308711,Gore West,-46.10626401,168.92356176,16.136657502014643,Gore,Gore
Red Beach East,Takapuna West,SCHOOL_BUS,15,EDUCATION,Red Beach East,-36.60592118,174.70488989,Takapuna West,-36.78910918,174.76117008,20.978493934557065,Rodney,Waitakere
Waipawa,Mangaonuku,SCHOOL_BUS,30,EDUCATION,Waipawa,-39.93975904,176.5913431,Mangaonuku,-39.80378374,176.41709256,21.207071166900803,Central Hawke's Bay,Central Hawke's Bay
Silverdale South (Auckland),Long Bay,SCHOOL_BUS,6,EDUCATION,Silverdale South (Auckland),-36.62799753,174.69160348,Long Bay,-36.68946348,174.73306962,7.771389340774434,Rodney,Waitakere
Kelburn,Eastern Bays ,SCHOOL_BUS,9,EDUCATION,Kelburn,-41.28798133,174.76045619,Eastern Bays,-41.28078028,174.90926531,12.459762436088846,Wellington,Hutt city
Remuera East,Sunnyhills West-Pakuranga North,SCHOOL_BUS,36,EDUCATION,Remuera East,-36.8760597,174.82144132,Sunnyhills West-Pakuranga North,-36.9085095,174.87269402,5.8132523158529015,Waitakere,Manukau
Ruahine,Poutoa,SCHOOL_BUS,6,EDUCATION,Ruahine,-40.37008236,175.63164612,Poutoa,-40.390038200000006,175.64544144,2.5078583171944477,Palmerston North,Palmerston North
Paekakariki,Raumati Beach West,SCHOOL_BUS,24,EDUCATION,Paekakariki,-40.97186832,174.96895136,Raumati Beach West,-40.91582202,174.98216422,6.330103006445818,Kapiti Coast,Kapiti Coast
Konini,Green Bay North,SCHOOL_BUS,33,EDUCATION,Konini,-36.92920297,174.64373108,Green Bay North,-36.92628317,174.68526542,3.7061748353599056,Waitakere,Waitakere
Tirau,Matamata South,SCHOOL_BUS,63,EDUCATION,Tirau,-37.95916018,175.81429616,Matamata South,-37.81753128,175.77119821,16.19619955105337,South Waikato,Matamata-Piako
Browns Bay South West,Kingsway,SCHOOL_BUS,6,EDUCATION,Browns Bay South West,-36.72178932,174.72994649,Kingsway,-36.60606427,174.68651435,13.438519264956764,Waitakere,Rodney
Glendale,Hutt Central South,SCHOOL_BUS,24,EDUCATION,Glendale,-41.2429916,174.95473935,Hutt Central South,-41.21349159,174.90936129,5.016108512680997,Hutt city,Hutt city
