SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Kelson,Vivian East,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Kelson,-41.17271184,174.94294237,Vivian East,-41.29691524,174.78007236,19.396412250535768,Hutt city,Wellington
Wanaka Central,Wanaka Central,DRIVE_COMPANY_VEHICLE,18,EDUCATION,Wanaka Central,-44.70519427,169.14994952,Wanaka Central,-44.70519427,169.14994952,0.0,Queenstown-Lakes,Queenstown-Lakes
Mangatainoka,Mangatainoka,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Mangatainoka,-40.39758846,175.82546085,Mangatainoka,-40.39758846,175.82546085,0.0,Tararua,Tararua
Balcairn,Amberley,DRIVE_COMPANY_VEHICLE,18,EDUCATION,Balcairn,-43.13161687,172.78405755,Amberley,-43.15508463,172.73121686,5.018846568308362,Hurunui,Hurunui
Waikaka,Waikaka,DRIVE_COMPANY_VEHICLE,36,EDUCATION,Waikaka,-45.96604044,168.98043741,Waikaka,-45.96604044,168.98043741,0.0,Gore,Gore
Tikorangi,Waitara West,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Tikorangi,-39.04099797,174.34313238,Waitara West,-38.9975014,174.2265459,11.173123845893336,New Plymouth,New Plymouth
Abbotsford,Kaikorai-Bradford,DRIVE_COMPANY_VEHICLE,24,EDUCATION,Abbotsford,-45.89815819,170.42263162,Kaikorai-Bradford,-45.89632854,170.44876643,2.032670602189429,Dunedin,Dunedin
Witherlea East,Whitney East,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Witherlea East,-41.53819682,173.9585948,Whitney East,-41.52059859,173.95891011,1.9570099129967804,Marlborough,Marlborough
Bishopdale South,Bromley North,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Bishopdale South,-43.49422735,172.58605509,Bromley North,-43.53482145,172.70629272,10.69500710595178,Christchurch,Christchurch
Buller Coalfields,Buller Coalfields,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Buller Coalfields,-41.7281935,171.86681611,Buller Coalfields,-41.7281935,171.86681611,0.0,Buller,Buller
Pacific View,Tauranga Central,DRIVE_COMPANY_VEHICLE,27,EDUCATION,Pacific View,-37.69041269,176.25492252,Tauranga Central,-37.67947411,176.16704264,7.828314309491797,Western Bay of Plenty,
Pahoia,Mount Maunganui Central,DRIVE_COMPANY_VEHICLE,33,EDUCATION,Pahoia,-37.70302699,175.96812271,Mount Maunganui Central,-37.66423891,176.19448097,20.380990473409124,Western Bay of Plenty,Western Bay of Plenty
Glendene South,Onehunga-Te Papapa Industrial,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Glendene South,-36.89691229,174.65416828,Onehunga-Te Papapa Industrial,-36.92606886,174.79489131,12.9245630879505,Waitakere,Waitakere
Henderson East,Henderson Lincoln East,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Henderson East,-36.88675131,174.63851372,Henderson Lincoln East,-36.85590078,174.63407425,3.4530785916416202,Waitakere,Waitakere
Stonefields West,North Harbour,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Stonefields West,-36.88678029,174.83723014,North Harbour,-36.74630474,174.71502975,19.03473670630596,Waitakere,Waitakere
Burnside,Burnside,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Burnside,-43.50309147,172.5759413,Burnside,-43.50309147,172.5759413,0.0,Christchurch,Christchurch
Northwood,Woolston South,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Northwood,-43.45866323,172.61415345,Woolston South,-43.56123026,172.68421207,12.727659571456936,Christchurch,Christchurch
Avonhead West,Sockburn South,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Avonhead West,-43.51339363,172.55038452,Sockburn South,-43.5449149,172.56350496,3.661135236138081,Christchurch,Christchurch
Maungaraki,Gracefield,DRIVE_COMPANY_VEHICLE,18,EDUCATION,Maungaraki,-41.20840978,174.87990307,Gracefield,-41.24017306,174.91075379,4.373973678520277,Hutt city,Hutt city
Matamata South,Matamata North,DRIVE_COMPANY_VEHICLE,60,EDUCATION,Matamata South,-37.81753128,175.77119821,Matamata North,-37.8092195,175.78065623,1.2427777976602892,Matamata-Piako,Matamata-Piako
Dinsdale North,Hamilton Central,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Dinsdale North,-37.78865021,175.24575574,Hamilton Central,-37.78938082,175.28203067,3.188668877679418,Hamilton,Hamilton
Greenhithe East,Silverdale Central (Auckland),DRIVE_COMPANY_VEHICLE,6,EDUCATION,Greenhithe East,-36.7641032,174.68932537,Silverdale Central (Auckland),-36.62402013,174.67493059999995,15.629312331060436,Waitakere,Rodney
Narrow Neck,North Harbour,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Narrow Neck,-36.81569367,174.79661047,North Harbour,-36.74630474,174.71502975,10.598104844244816,Waitakere,Waitakere
Hillcrest East (Hamilton City),Frankton Junction ,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Hillcrest East (Hamilton City),-37.79610513,175.32167122,Frankton Junction,-37.79650916,175.26255885,5.194139309195499,Hamilton,Hamilton
Mission Heights South,East Tamaki,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Mission Heights South,-36.96503986,174.9321751,East Tamaki,-36.93823242,174.88712871,4.990821732928166,Manukau,Manukau
